6697,9440
4895,17426
1329,16355
9794,15225
6181,6811
2019,8372
1353,4799
4661,11349
2907,10335
11536,19163
833,5054
11515,13009
5375,18942
11985,14173
1602,16894
11024,13996
4455,17933
616,11390
2479,19498
749,778
12654,15390
9268,17480
966,3886
293,8543
3574,15756
3805,14348
11906,19068
6822,17788
9435,17155
14689,16988
6190,16752
5649,12758
8395,8621
4285,14044
4687,11236
17522,18895
927,16851
1751,7398
5095,11450
1394,15899
8197,17901
2759,12725
14388,15670
17,7104
10592,14161
13729,14297
3876,16347
18,1843
6912,16901
13305,15498
2543,11141
7555,12552
4743,18752
2571,15938
7317,10739
14358,16083
2037,11450
4937,8221
1581,4254
4774,6000
6224,7566
804,18733
12841,15299
12879,14517
11499,13799
14512,14609
6296,10344
13489,16195
612,17034
6212,18373
2987,3015
7367,12661
4927,8668
3374,4863
11449,15916
5871,9190
2802,17600
12611,18545
1564,15780
4846,15453
9648,16868
10956,16277
9173,18733
11886,19032
357,2225
8806,16857
12940,13485
4296,5375
3309,13378
8309,16541
12827,16866
1439,1465
2308,9447
609,17760
17025,17072
3923,15577
6192,12253
1012,7113
13475,19053
3635,5178
7353,18756
15479,18558
903,16459
13354,13442
168,15458
2471,15596
1505,17767
7982,14791
5048,17368
3276,14698
1901,7966
2128,11302
957,18059
9120,9759
6985,19014
9847,18912
9232,11157
12955,13914
10753,11989
8093,17308
3499,16593
6764,12152
633,10389
7852,12264
5919,12592
3554,12734
293,16124
9769,17071
2822,7818
6819,10427
48,18903
6493,13417
1817,4628
6117,18657
5104,18739
13045,17141
7821,13878
7123,14305
2245,9484
204,6610
9846,16048
150,16167
15095,18766
6411,8399
9890,19512
10769,14651
4893,10932
2434,10070
2827,11083
9650,10559
6352,12128
2571,15155
2821,9880
3126,8567
4654,18748
11651,12924
7294,13185
2315,6511
3126,14420
1919,6284
5307,7903
7541,13846
3083,12369
3577,11450
2413,18893
5023,15522
11381,12265
1142,4388
1840,16964
4578,18519
124,6558
1924,5908
4620,7195
5440,18889
11024,17164
761,11809
9470,14651
17521,19017
1910,5587
2882,5580
7312,19143
7456,15716
4561,9507
4455,18728
5559,16187
1205,7757
11284,17051
9665,10435
2338,4214
12797,17139
871,11463
11894,18233
7780,7981
87,18728
4212,5968
3136,17364
4103,14040
4045,12416
6911,7716
15155,18053
6180,12880
7861,17313
8453,11814
9041,15476
2087,13086
7665,19325
311,16618
1852,16389
1660,1915
7222,15732
7912,13971
4343,7307
3385,10977
10279,13261
17439,18388
5565,10068
3062,13392
4932,18907
2999,11996
2554,10754
1456,15018
9651,9766
3468,18966
8619,16248
11044,18806
10070,13160
7971,15561
9769,11024
5822,16376
2177,6125
7674,15020
1068,11450
1614,1679
5145,14754
3878,16754
7743,15841
1683,8762
7664,13757
11468,17616
5908,17899
2674,12156
9512,15213
5483,7222
12875,18181
11024,17387
6452,13779
2708,16610
7295,7979
5661,9523
290,15577
2529,16826
11895,14693
293,10373
105,10796
3531,10537
976,15975
15765,18728
4142,5839
14369,17932
6276,9245
1544,2078
2425,15467
14147,18959
3336,6509
647,16214
8626,11861
2862,16538
14742,18301
3945,6923
5440,15044
3205,18728
7764,18863
7665,11841
13763,17157
4708,18701
5372,18725
7606,17596
7161,18178
6901,9056
12844,14727
761,16054
5104,17019
7666,18584
5256,18722
2831,18211
6298,16866
1774,14727
13846,19189
874,12066
11278,15044
3390,5899
1273,17687
1643,16918
1582,4538
8998,14317
9943,10934
2730,14603
3922,11278
7666,11912
10629,16099
5429,11894
1497,6098
1425,6411
7058,17196
15176,15564
17105,18762
5095,8836
1374,17470
2534,14820
12327,16214
4437,6199
3286,7495
10025,17858
16,15057
10269,14637
13828,14371
14742,18219
17195,17493
1403,6091
4051,7560
9601,9953
3687,12019
6501,15552
10426,13726
8934,10513
754,11024
12015,18799
16295,19034
821,14618
16853,18843
1395,13441
6233,16415
3082,19153
2056,17194
9416,10219
4642,15995
8313,12865
6092,12972
2835,4101
11761,16602
105,15239
12235,13431
9583,17057
6261,17982
10516,13367
3218,6467
5265,12657
236,528
4064,10766
4522,6690
6567,18962
5928,10163
4289,14567
13143,16342
4752,9723
11524,17722
6169,7064
7546,8893
2912,13441
1377,13233
5846,15877
2368,17198
8956,17571
6850,14953
15195,18945
2915,6579
